server name,date, body bytes sent , status , upstream response length , tcpinfo rtt , tcpinfo rttvar , tcpinfo snd cwnd ,sent http content type,http user agent
static.tvc.ru,19.12.2023, 7 809   , 200   , 7 809   , 321   , 17   , 10   ,image/png,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 5 025   , 200   , 24 258   , 2 656   , 4 659   , 10   ,application/x-javascript,Mozilla/5.0 Linux. Andr
static.tvc.ru,19.12.2023, 1 173   , 200   , 3 845   , 5 148   , 9 261   , 10   ,application/x-javascript,Mozilla/5.0 Linux. Andr
static.tvc.ru,19.12.2023, 4 777   , 200   , 4 777   , 417   , 284   , 10   ,image/png,Mozilla/5.0 Linux. Andr
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 335   , 51   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 10 845   , 200   , 47 203   , 212   , 45   , 10   ,text/html. charset=utf-8,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 413   , 235   , 10   ,application/json,Mozilla/5.0 Linux. Andr
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 2 540   , 4 647   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 534   , 558   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 402   , 186   , 10   ,application/json,Mozilla/5.0 Macintosh. 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 5 816   , 10 572   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 308   , 69   , 10   ,application/json,Mozilla/5.0 iPhone. CPU
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 2 860   , 4 787   , 10   ,application/json,Mozilla/5.0 Linux. NetC
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 2 344   , 3 322   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 2 255   , 3 686   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 1 506   , 2 513   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 5 809   , 10 806   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 606   , 533   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 1 800   , 2 722   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 537   , 578   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 5 816   , 8 857   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 587   , 602   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 5 887   , 10 815   , 10   ,application/json,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 2 009   , 200   , 2 009   , 11 781   , 14 757   , 10   ,image/png,Mozilla/5.0 Linux. Andr
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 695   , 454   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 812   , 849   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 12 365   , 200   , 52 712   , 184   , 18   , 10   ,text/html. charset=utf-8,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 669   , 726   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 963   , 1 275   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 12 109   , 200   , 53 474   , 167   , 18   , 10   ,text/html. charset=utf-8,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 373   , 194   , 10   ,application/json,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 7 809   , 200   , 7 809   , 1 097   , 1 579   , 10   ,image/png,Mozilla/5.0 Windows NT 
